chip,div,well,pre live l->r,pre live total,train live l->r,train live total,post live l->r,post live total
M07480,30,0,109,181,103,170,90,194
M07480,30,1,174,205,176,208,190,215
M07480,30,2,44,262,8,199,11,274
M07480,30,3,164,274,131,231,159,288
M07480,30,4,57,213,60,171,68,199
M07480,30,5,102,259,59,203,78,252
M07480,33,0,67,211,41,195,48,214
M07480,33,1,162,207,133,179,143,193
M07480,33,2,76,192,81,168,154,205
M07480,33,3,120,211,90,193,110,217
M07480,33,4,148,233,112,186,156,198
M07480,33,5,112,202,90,175,114,198
M07480,34,0,77,219,95,201,95,225
M07480,34,1,182,232,147,216,174,241
M07480,34,2,162,237,119,202,95,231
M07480,34,3,116,196,94,164,118,193
M07480,34,4,114,172,105,160,114,184
M07480,34,5,85,175,78,152,85,177
M07480,35,0,71,154,57,137,73,153
M07480,35,1,139,194,140,186,141,192
M07480,35,2,97,165,66,150,69,156
M07480,35,3,70,120,62,124,69,118
M07480,35,4,97,116,90,107,105,124
M07480,35,5,81,137,63,117,82,136
M07480,36,0,129,197,93,170,97,194
M07480,36,1,242,262,223,244,252,262
M07480,36,2,94,214,107,192,101,211
M07480,36,3,132,162,114,147,127,152
M07480,36,4,174,199,123,165,160,192
M07480,36,5,112,167,76,134,108,158
M07480,37,0,22,147,49,143,35,150
M07480,37,1,112,155,113,154,115,163
M07480,37,2,114,151,112,155,133,167
M07480,37,3,57,106,55,102,55,110
M07480,37,4,101,125,69,117,64,131
M07480,37,5,83,133,76,125,82,135
M07480,38,0,128,230,90,186,84,198
M07480,38,1,302,305,287,293,264,275
M07480,38,2,86,186,118,172,152,195
M07480,38,3,100,175,101,170,81,164
M07480,38,4,121,174,94,152,106,167
M07480,38,5,79,148,69,130,86,140
M07480,40,0,103,171,85,167,74,162
M07480,40,1,217,238,217,235,205,240
M07480,40,2,70,210,60,189,71,198
M07480,40,3,62,144,47,130,85,143
M07480,40,4,98,196,57,188,66,189
M07480,40,5,54,146,61,148,58,147
M07480,41,0,57,152,53,144,48,146
M07480,41,1,190,205,173,202,154,198
M07480,41,2,65,183,58,168,74,189
M07480,41,3,40,147,44,140,41,142
M07480,41,4,76,189,52,162,46,179
M07480,41,5,168,241,91,150,65,134
