chip,div,well,proportion change
M07480,33,0,-0.09489146657589485
M07480,33,1,-0.02205726405090136
M07480,33,2,0.07596480067854113
M07480,33,3,-0.009939922279494029
M07480,33,4,0.12252916641479779
M07480,33,5,0.053544350574053566
M07480,34,0,0.03406262849228503
M07480,34,1,0.0018740629685156662
M07480,34,2,0.287710970464135
M07480,34,3,0.023116355546958123
M07480,34,4,0.027597564627208304
M07480,34,5,-0.0687411598302688
M07480,35,0,0.10944078752297931
M07480,35,1,-0.06798791325986486
M07480,35,2,-0.09566551591868044
M07480,35,3,-0.008503401360544172
M07480,35,4,0.17341619887730553
M07480,35,5,0.1055265901981231
M07480,36,0,0.19378337398641965
M07480,36,1,0.2071692767765798
M07480,36,2,-0.14862645143018977
M07480,36,3,0.2314814814814814
M07480,36,4,0.038164962744758335
M07480,36,5,0.07941780672232168
M07480,37,0,-0.5051624710798024
M07480,37,1,-0.20108347697611428
M07480,37,2,0.3157145509686204
M07480,37,3,-0.277078965758211
M07480,37,4,-0.06637185929648237
M07480,37,5,-0.046598532258790626
M07480,38,0,0.40686187518485656
M07480,38,1,0.26758328926493924
M07480,38,2,-0.2926012960193691
M07480,38,3,0.03369272237196763
M07480,38,4,-0.11259770114942536
M07480,38,5,-0.0902763665921561
M07480,40,0,0.02290872107805747
M07480,40,1,-0.0391996142719383
M07480,40,2,-0.06451612903225806
M07480,40,3,-0.07043650793650791
M07480,40,4,-0.09770114942528735
M07480,40,5,-0.08196038504257683
M07480,41,0,-0.22733918128654973
M07480,41,1,0.015064562410330051
M07480,41,2,0.021857923497267784
M07480,41,3,-0.1584467120181406
M07480,41,4,-0.0978835978835979
M07480,41,5,0.32723242198601715
